"Description","Unit","URL"
"Fabulous views with all the space & comfort.","27 Bellair","airbnb.co.za/h/27bellair"
"Fabulous studio with balcony & views!","B302","airbnb.co.za/h/cityview302"
"Spectacular studio with balcony & views!","B303","airbnb.co.za/h/cityview303"
"Sublime studio with everything!","B307","airbnb.co.za/h/cityview307"
"Spacious studio with fab views!","B309","airbnb.co.za/h/cityview309"
"Spacious studio with living room","B312","airbnb.co.za/h/cityview312"
"Fab 1 bed with balcony and views","B315","airbnb.co.za/h/cityview315"
"Great 1 bed with balcony & views","B317","airbnb.co.za/h/cityview317"
"Sunny 1 bed great views & decor","B319","airbnb.co.za/h/cityview319"
"Sunny studio with views!","B321","airbnb.co.za/h/cityview321"
"Spacious sunny studio with views","B323","airbnb.co.za/h/cityview323"
"Fabulous views in trendy Breë","B400","airbnb.co.za/h/cityview400"
"Fabulous spacious apartment!","B401","airbnb.co.za/h/cityview401"
"Absolutely fabulous personified!","B402","airbnb.co.za/h/cityview402"
"Spacious studio, great views!","B404","airbnb.co.za/h/cityview404"
"Spacious studio with views!","B407","airbnb.co.za/h/cityview407"
"Splendid spacious studio with views!","B408","airbnb.co.za/h/cityview408"
"Super studio with sep living room","B411","airbnb.co.za/h/cityview411"
"Fabulous 1 bed with balcony & views!","B413","airbnb.co.za/h/cityview413"
"Sunny studio with fabulous views","B420","airbnb.co.za/h/cityview420"
"Spacious studio with fab views!","B501","airbnb.co.za/h/cityview501"
"Spacious studio with fab views!","B504","airbnb.co.za/h/cityview504"
"City Views with all the comfort","B506","airbnb.co.za/h/cityview506"
"Stunning studio with views!","B507","airbnb.co.za/h/cityview507"
"Fun studio with balcony in Bree","B514","airbnb.co.za/h/cityview514"
"Fun studio with balcony & views!","B514A","airbnb.co.za/h/cityview514a"
"Fabulous finishes, views & space!","B515","airbnb.co.za/h/cityview515"
"Sunny studio & fabulous views!","B520","airbnb.co.za/h/cityview520"
"Exceptional Waterfront Living!","G102","airbnb.co.za/h/waterfront-g102"
"Fabulous waterfront lifestyle!","G205","airbnb.co.za/h/waterfront-g205"
"Fabulous waterfront living!","H003","airbnb.co.za/h/waterfront-h003"
"Sunny spacious 1 bed with views!","S415","airbnb.co.za/h/cityviews415"
