Thread ID,Text
692881543,"Availability has been updated, please try requested dates again... Hi , can you change these dates to 24th and 25th Jan ? Hi Johan, please let me know if your lovely cottage is available for 1 night 20th February. Please also let me know what dinner and breakfast menu will be. Hi Johan , do you have availability Thursday 20th and Friday 21st. I am in JHB on super important business trip (everybody says so) ..."
816309815,"Hi André, I'll be driving from Johannesburg, till what time can I check in?"
816311788,"Hi, I'll be driving from Johannesburg, till what time can I check in?"
851333085,"Johan dankie vir jou navraag. ek kan jou akkommodeer by Meeulander vir die tydperk versoek. laat weet indien jy enige verdere inligting benodig. groete Nita Hi Nina, ons vlieg af vanaf JNB, laat weet of jul beskikbaarheid het oor die tydperk. Groete Johan"
912629323,"Hi Hilton, we will check in at 2pm... Hi Hilton, we will check in at 2pm..."
968198850,Hi Janice! I'll be visiting...I've heard so much about your fine meals and magnetic persona. We can't wait.
1053359804,"Hi Hayley, can you please confirm my booking, else I'd like to select another property. Tx Johan. Hi Hayley, We're flexible, so let me know when you're avail.... Anytime between 2 and 4pm...👍🏻 Tx Johan Hi Hayley, Is the cottage available 6-10 Jan? Thanks Johan Pleasure Johan. Thank you for your support. Hi Johan, I am going to leave the key under the 2nd rock nearest to the front gate (my key pad is needing repair). You are welcome to arrive anytime from 2. The cottage is ready. Please park on the grass infront of the beach cottage sign. The wifi is my phone number. I have left the covers on the outside furniture as we are expecting rain Friday evening/Sat morning + strong winds. I do hope that you enjoy your stay. Thanks Hayley Good day Johan you are welcome to leave a bit later as no one is arriving today. Hope you enjoyed your stay. Regards Hayley Evening Johan hope you are settled in. Is that your car with boards on it? If so I would suggest to bring them in at night. Thanks Hayley Hi Johan I have just seen that we are meant to be having load shedding from 10:00 tonight? Just so you know if lights go out. Okay, will do... Thanks Hayley... Good day Johan - yes you are welcome to book the cottage. Thank you Hayley Hi Hayley, we've checked out 😉. Thanks for an awesome stay. The keys are back under the second rock.... Cheers Johan Okay cool. Johan Good evening Johan, hope you are well. What time can we expect you on Friday. Thank you Hayley Pleasure"
1381460138,"Hey Johan, I hope that you have settled in alright and that you are enjoying your stay. Please let me know if there is anything you need or if I can assist you in any way. Always here to help, 🥇Thanks Hi Johan, Thank you so much for booking with us! Please just a friendly reminder that the number of guests shall be in accordance with those stated on the booking details and additional guests/visitors are not permitted. This is a building policy set out by the body corporate and is for yours and your neighbours’ privacy and security. This is a building policy set up by the body corporate. We will be in contact two days before your arrival with all of the details you'll need for a smooth check in and a wonderful stay. We offer reliable and affordable airport transfers and tours. Our drivers can fetch you in a standard vehicle or shuttle. . Please let us know if you would like any transfers and/or tours during your stay. Please just let us know if you are interested and we can quote accordingly. If you would like to get in touch, and have any questions before or during your stay, we request that you use this message platform to message us. This will result in an immediate response during our working hours of 8am – 10pm daily. Please note that the number provided on Airbnb for us will not work as this is my private number and set to do not disturb. Hence, I am unable to assist and be contactable by phone. However, I have a dedicate online guest communication centre who will respond to you during the hours mentioned. If you have a critical issue – please message here with the issue and request for urgent assistance. If the online team cannot assist via a reply message immediately, they will send you my number for urgent assistance as well as warn me to expect the call so I can make myself available. A requirement of Hydro Park Apartments is for preadmission of guests. In order to complete the preadmission process - please send us a copy of all booked guests valid identification documentation, as well as the following information: 1. FULL NAME AND SURNAME 2. CONTACT NUMBER 3. VEHICLE REGISTRATION SHOULD YOU REQUIRE PARKING 4. ID / PASSPORT NUMBER - The building only accepts South African ID, South African drivers license or foreign/South African passports. Please note that you will need your identification on arrival. NO ID; NO ENTRY. You need your actual ID on check in (all guests) and not a copy of your ID. Looking forward to hosting you :) Kind Regards, The Starhost Team Hi Johan It was a pleasure hosting you. I have left you a 5 star review online. I wrote the following ""Johan T spent a few nights in our apartment and was a wonderful guest. The communication with us was great - always polite, friendly and quick. The apartment was looked after and kept clean and tidy as it was found. It was a pleasure to host Johan T and I would definitely recommend Johan T as a guest to anyone."" When rating us after your stay, please consider that Airbnb’s ratings are totally different than the classic hotel star rating system. You should know that Airbnb can close down a listing that drops below an average of 4.3 stars. There system is rather confusing. To give you a better understanding, we designed the following (cheeky) guide to the rating system: ***** (5 stars) = perfection does not exist, but considering what I paid and where I stayed, I was happy here. **** (4 stars) = several issues need to be improved. *** (3 stars) = major problems ** (2 stars) = close the place down * (1 stars) = put the hosts in jail We always strive to give our guests a 5 star experience. Please let us know of any problem you may have had during your stay and we will do everything within our power to solve it for future. We hope to hear from you again soon. The Starhost Team Hi Tayla, I was just washing the dishes and unfortunately a wine glass broke... 😭. Please advise how much I owe you. Ta Johan Hey Johan, I hope that you’ve enjoyed your stay in my place and Sandton. Tomorrow will be your check out day at 10:00 am For check out just: Please ensure all the lights are turned off. The aircon is off. Please close balcony door. Please lock front door and return the key to concierge and ask to see that they put it back in Starhost box. This is important to ensure we do not blame guest for missing keys. We will fetch the keys from the starhost box on arrival. Should you still be in the apartment at 10am, the cleaner will meet you there and take the key and confirm with us. Feel free to reach out if you have any questions Please take note: Any last-minute extension requests are subject to availability of the apartment. In addition, should you send an extension request between 18h00 – 21h00 the day before checking out, an additional R200 late fee will be billed before the extension can be accepted. Furthermore, we are unable to accept extension requests sent after 21h00. You would be required to make a new booking or pay for the cleaning tomorrow. We therefore urge you to request any extensions as soon as possible to avoid disappointment. Best, Hi Johan Thank you for booking with us A requirement of Hydro Park Apartments is for preadmission of guests. In order to complete the preadmission process - please send us a copy of all booked guests valid identification documentation, as well as the following information: 1. FULL NAME AND SURNAME 2. CONTACT NUMBER 3. VEHICLE REGISTRATION SHOULD YOU REQUIRE PARKING 4. ID / PASSPORT NUMBER - The building only accepts South African ID, South African drivers license or foreign/South African passports. Please note that you will need your identification on arrival. NO ID; NO ENTRY. You need your actual ID on check in (all guests) and not a copy of your ID. Looking forward to hosting you. Thanks:) Please share a copy of the id. Thanks:) information: 1. FULL NAME AND SURNAME Johan Albert Troskie 2. CONTACT NUMBER 0828820100 3. VEHICLE REGISTRATION SHOULD YOU REQUIRE PARKING CAA361340 4. ID / PASSPORT NUMBER 6707185159088 Second guest is my 16yo daughter who is in school in JNB. Hi Johan, Your check in date is getting close and we are excited for your arrival! Reminding you that the address is 86 Grayston Drive Hydro Park Apartments, Sandton, Gauteng 2031, South Africa Check in is on Feb 28th, 2023 from 3pm - 9pm Check out is on Mar 3rd, 2023 by 10:00 am. We have exclusively partnered with MU Africa tours. A registered tour and transport service company. They are here for our guests. Offering them private/personal transfers, tours and more. If you would like airport transfer please let us know so we can put you in direct contact with them. Just a friendly reminder that we are not serviced apartments. We offer a complimentary clean once a week if your stay is for more than 7 nights. Cleaning equipment and appliances such as broom, mop and washing machine are provided. The apartment is self catering; but to help get you started we provide you with a small quantity of tea, coffee and sugar; as well as some hand soap and shower gel, sunlight liquid and a lined kitchen bin. An unused roll toilet paper per bathroom. We will replenish these once a week if your stay is for longer than 7 nights. As promised here are the instructions for smooth check in: IF YOU HAVE NOT ALREADY DONE SO - PLEASE URGENTLY SEND US A COPY OF YOUR ID TOGETHER WITH ALL GUESTS BOOKED. NO ID COPY , NO ENTRY. WE ALSO REQUIRE THE FOLLOWING INFORMATION FOR ALL GUESTS BOOKED: 1. FULL NAME AND SURNAME 2. CONTACT NUMBER 3. VEHICLE REGISTRATION SHOULD YOU REQUIRE PARKING 4. ID / PASSPORT NUMBER - The building only accepts South African ID, South African drivers license or foreign/South African passports. Please note that this information is required prior to check in. It takes one hour to complete the forms for all guests. Should you arrive on the day of check in without having sent the necessary documentation, there will be a one hour wait at security once you have sent through the documents. In addition as per the listing and our booking confirmation message - a friendly reminder that the number of guests shall be in accordance with those stated on the booking details and additional guests/visitors not permitted. Check in: Unit 1221 Hydro Park Apartments 86 Grayston Drive Sandton When you arrive at the building you will immediately see entrance and security. Please let them know you are checking into Starhost's unit. Owen will assist you with check in and give you the keys for the apartment. You will need identification (passport , ID, drivers license) for security. Every guest needs ID. You have to sign in properly with security. Any guests enter without signing in properly is contravention of the building rules and liable for a fine. If you require parking you will need to use the specific bay allocated to this unit. The bay number is D19 & D20. Please ensure you only use this bay. If you park in another bay you are liable to be clamped by the building manager. Wifi name-1221-H PASSWORD:PaSSword@1221 Just a friendly reminder that we are not serviced apartments. We offer a complimentary clean once a week if your stay is for more than 7 nights. Cleaning equipment and appliances such as broom, mop and washing machine are provided. The apartment is self-catering; but to help get you started we provide you with a small quantity of tea, coffee and sugar; as well as some hand soap and shower gel, sunlight liquid and a lined kitchen bin. An unused roll toilet paper per bathroom. We will replenish these once a week if your stay is for longer than 7 nights. Please let us know if you have any questions. Please also remember the communication methods we mentioned in your booking confirmation message - this will ensure swift response, :) We look forward to hosting you soon! All the best, The Starhost Team Hi Johan , We are sorry for the inconvenience, i hope you were not hurt. We will replace it , no need for you to pay for it. Thanks:) Hi Tayla, I fly at 11h00 so will check out at 08h30, thanks. Johan Hi May you send through the following details , so we can register your booking with building security , to ensure smooth check in. PLEASE URGENTLY SEND US A COPY OF YOUR ID TOGETHER WITH ALL GUESTS BOOKED. NO ID COPY , NO ENTRY. WE ALSO REQUIRE THE FOLLOWING INFORMATION FOR ALL GUESTS BOOKED: 1. FULL NAME AND SURNAME 2.. CONTACT NUMBER 3. VEHICLE REGISTRATION SHOULD YOU REQUIRE PARKING 4. ID / PASSPORT NUMBER Pease type the above info out under the ID/Passport image sent Please also knindly note no vistors are allowed Thanks Received, thanks:) Thanks for letting us know, Please ensure all the lights are turned off. The aircon is off. Please close balcony door. Please lock front door and return the key to concierge and ask to see that they put it back in Starhost box. This is important to ensure we do not blame guest for missing keys. We will fetch the keys from the starhost box on arrival. Hi Tayla, All is good thanks... Keep well, Johan Troskie Tel 0828820100"
1416324149,"Hope your check-in went smoothly in Johannesburg! Your Host, Easy Stays, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. Hope your check-in went smoothly in Johannesburg! Your Host, Vaso, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. Hope your check-in went smoothly in Cape Town! Your Host, SustainableStays, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. Hope your check-in went smoothly in Johannesburg! Your Host, Daniel And Tracy, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. Hope your check-in went smoothly in Cape Town! Your Host, SustainableStays, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. Hope your check-in went smoothly in Johannesburg! Your Host, Gary, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. Hope your check-in went smoothly in Sandton! Your Host, Tayla, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7."
1417291474,My daughter is at St Mary's and I come up from CPT to visit her. Hi Johan Thanks for the booking. At some point pls WhatsApp me on 0836529243 and I’ll send you what you need to know Regards Daniel Hi Johan A reminder to please send me a WhatsApp so that I can send you check in details for tomorrow The number is above Regards Daniel
