Thread ID,Text
692881543,"availability has been updated, please try requested dates again... hi , can you change these dates to 24th and 25th jan ? hi johan, please let me know if your lovely cottage is available for 1 night 20th february. please also let me know what dinner and breakfast menu will be. hi johan , do you have availability thursday 20th and friday 21st. i am in jhb on super important business trip (everybody says so) ..."
816309815,"hi andré, i'll be driving from johannesburg, till what time can i check in?"
816311788,"hi, i'll be driving from johannesburg, till what time can i check in?"
851333085,"johan dankie vir jou navraag. ek kan jou akkommodeer by meeulander vir die tydperk versoek. laat weet indien jy enige verdere inligting benodig. groete nita hi nina, ons vlieg af vanaf jnb, laat weet of jul beskikbaarheid het oor die tydperk. groete johan"
912629323,"hi hilton, we will check in at 2pm... hi hilton, we will check in at 2pm..."
968198850,hi janice! i'll be visiting...i've heard so much about your fine meals and magnetic persona. we can't wait.
1053359804,"hi hayley, can you please confirm my booking, else i'd like to select another property. tx johan. hi hayley, we're flexible, so let me know when you're avail.... anytime between 2 and 4pm... tx johan hi hayley, is the cottage available 6-10 jan? thanks johan pleasure johan. thank you for your support. hi johan, i am going to leave the key under the 2nd rock nearest to the front gate (my key pad is needing repair). you are welcome to arrive anytime from 2. the cottage is ready. please park on the grass infront of the beach cottage sign. the wifi is my phone number. i have left the covers on the outside furniture as we are expecting rain friday evening/sat morning + strong winds. i do hope that you enjoy your stay. thanks hayley good day johan you are welcome to leave a bit later as no one is arriving today. hope you enjoyed your stay. regards hayley evening johan hope you are settled in. is that your car with boards on it? if so i would suggest to bring them in at night. thanks hayley hi johan i have just seen that we are meant to be having load shedding from 10:00 tonight? just so you know if lights go out. okay, will do... thanks hayley... good day johan - yes you are welcome to book the cottage. thank you hayley hi hayley, we've checked out . thanks for an awesome stay. the keys are back under the second rock.... cheers johan okay cool. johan good evening johan, hope you are well. what time can we expect you on friday. thank you hayley pleasure"
1381460138,"hey johan, i hope that you have settled in alright and that you are enjoying your stay. please let me know if there is anything you need or if i can assist you in any way. always here to help, 🥇thanks hi johan, thank you so much for booking with us! please just a friendly reminder that the number of guests shall be in accordance with those stated on the booking details and additional guests/visitors are not permitted. this is a building policy set out by the body corporate and is for yours and your neighbours’ privacy and security. this is a building policy set up by the body corporate. we will be in contact two days before your arrival with all of the details you'll need for a smooth check in and a wonderful stay. we offer reliable and affordable airport transfers and tours. our drivers can fetch you in a standard vehicle or shuttle. . please let us know if you would like any transfers and/or tours during your stay. please just let us know if you are interested and we can quote accordingly. if you would like to get in touch, and have any questions before or during your stay, we request that you use this message platform to message us. this will result in an immediate response during our working hours of 8am – 10pm daily. please note that the number provided on airbnb for us will not work as this is my private number and set to do not disturb. hence, i am unable to assist and be contactable by phone. however, i have a dedicate online guest communication centre who will respond to you during the hours mentioned. if you have a critical issue – please message here with the issue and request for urgent assistance. if the online team cannot assist via a reply message immediately, they will send you my number for urgent assistance as well as warn me to expect the call so i can make myself available. a requirement of hydro park apartments is for preadmission of guests. in order to complete the preadmission process - please send us a copy of all booked guests valid identification documentation, as well as the following information: 1. full name and surname 2. contact number 3. vehicle registration should you require parking 4. id / passport number - the building only accepts south african id, south african drivers license or foreign/south african passports. please note that you will need your identification on arrival. no id; no entry. you need your actual id on check in (all guests) and not a copy of your id. looking forward to hosting you :) kind regards, the starhost team hi johan it was a pleasure hosting you. i have left you a 5 star review online. i wrote the following ""johan t spent a few nights in our apartment and was a wonderful guest. the communication with us was great - always polite, friendly and quick. the apartment was looked after and kept clean and tidy as it was found. it was a pleasure to host johan t and i would definitely recommend johan t as a guest to anyone."" when rating us after your stay, please consider that airbnb’s ratings are totally different than the classic hotel star rating system. you should know that airbnb can close down a listing that drops below an average of 4.3 stars. there system is rather confusing. to give you a better understanding, we designed the following (cheeky) guide to the rating system: ***** (5 stars) = perfection does not exist, but considering what i paid and where i stayed, i was happy here. **** (4 stars) = several issues need to be improved. *** (3 stars) = major problems ** (2 stars) = close the place down * (1 stars) = put the hosts in jail we always strive to give our guests a 5 star experience. please let us know of any problem you may have had during your stay and we will do everything within our power to solve it for future. we hope to hear from you again soon. the starhost team hi tayla, i was just washing the dishes and unfortunately a wine glass broke... . please advise how much i owe you. ta johan hey johan, i hope that you’ve enjoyed your stay in my place and sandton. tomorrow will be your check out day at 10:00 am for check out just: please ensure all the lights are turned off. the aircon is off. please close balcony door. please lock front door and return the key to concierge and ask to see that they put it back in starhost box. this is important to ensure we do not blame guest for missing keys. we will fetch the keys from the starhost box on arrival. should you still be in the apartment at 10am, the cleaner will meet you there and take the key and confirm with us. feel free to reach out if you have any questions please take note: any last-minute extension requests are subject to availability of the apartment. in addition, should you send an extension request between 18h00 – 21h00 the day before checking out, an additional r200 late fee will be billed before the extension can be accepted. furthermore, we are unable to accept extension requests sent after 21h00. you would be required to make a new booking or pay for the cleaning tomorrow. we therefore urge you to request any extensions as soon as possible to avoid disappointment. best, hi johan thank you for booking with us a requirement of hydro park apartments is for preadmission of guests. in order to complete the preadmission process - please send us a copy of all booked guests valid identification documentation, as well as the following information: 1. full name and surname 2. contact number 3. vehicle registration should you require parking 4. id / passport number - the building only accepts south african id, south african drivers license or foreign/south african passports. please note that you will need your identification on arrival. no id; no entry. you need your actual id on check in (all guests) and not a copy of your id. looking forward to hosting you. thanks:) please share a copy of the id. thanks:) information: 1. full name and surname johan albert troskie 2. contact number 0828820100 3. vehicle registration should you require parking caa361340 4. id / passport number 6707185159088 second guest is my 16yo daughter who is in school in jnb. hi johan, your check in date is getting close and we are excited for your arrival! reminding you that the address is 86 grayston drive hydro park apartments, sandton, gauteng 2031, south africa check in is on feb 28th, 2023 from 3pm - 9pm check out is on mar 3rd, 2023 by 10:00 am. we have exclusively partnered with mu africa tours. a registered tour and transport service company. they are here for our guests. offering them private/personal transfers, tours and more. if you would like airport transfer please let us know so we can put you in direct contact with them. just a friendly reminder that we are not serviced apartments. we offer a complimentary clean once a week if your stay is for more than 7 nights. cleaning equipment and appliances such as broom, mop and washing machine are provided. the apartment is self catering; but to help get you started we provide you with a small quantity of tea, coffee and sugar; as well as some hand soap and shower gel, sunlight liquid and a lined kitchen bin. an unused roll toilet paper per bathroom. we will replenish these once a week if your stay is for longer than 7 nights. as promised here are the instructions for smooth check in: if you have not already done so - please urgently send us a copy of your id together with all guests booked. no id copy , no entry. we also require the following information for all guests booked: 1. full name and surname 2. contact number 3. vehicle registration should you require parking 4. id / passport number - the building only accepts south african id, south african drivers license or foreign/south african passports. please note that this information is required prior to check in. it takes one hour to complete the forms for all guests. should you arrive on the day of check in without having sent the necessary documentation, there will be a one hour wait at security once you have sent through the documents. in addition as per the listing and our booking confirmation message - a friendly reminder that the number of guests shall be in accordance with those stated on the booking details and additional guests/visitors not permitted. check in: unit 1221 hydro park apartments 86 grayston drive sandton when you arrive at the building you will immediately see entrance and security. please let them know you are checking into starhost's unit. owen will assist you with check in and give you the keys for the apartment. you will need identification (passport , id, drivers license) for security. every guest needs id. you have to sign in properly with security. any guests enter without signing in properly is contravention of the building rules and liable for a fine. if you require parking you will need to use the specific bay allocated to this unit. the bay number is d19 & d20. please ensure you only use this bay. if you park in another bay you are liable to be clamped by the building manager. wifi name-1221-h password:password@1221 just a friendly reminder that we are not serviced apartments. we offer a complimentary clean once a week if your stay is for more than 7 nights. cleaning equipment and appliances such as broom, mop and washing machine are provided. the apartment is self-catering; but to help get you started we provide you with a small quantity of tea, coffee and sugar; as well as some hand soap and shower gel, sunlight liquid and a lined kitchen bin. an unused roll toilet paper per bathroom. we will replenish these once a week if your stay is for longer than 7 nights. please let us know if you have any questions. please also remember the communication methods we mentioned in your booking confirmation message - this will ensure swift response, :) we look forward to hosting you soon! all the best, the starhost team hi johan , we are sorry for the inconvenience, i hope you were not hurt. we will replace it , no need for you to pay for it. thanks:) hi tayla, i fly at 11h00 so will check out at 08h30, thanks. johan hi may you send through the following details , so we can register your booking with building security , to ensure smooth check in. please urgently send us a copy of your id together with all guests booked. no id copy , no entry. we also require the following information for all guests booked: 1. full name and surname 2.. contact number 3. vehicle registration should you require parking 4. id / passport number pease type the above info out under the id/passport image sent please also knindly note no vistors are allowed thanks received, thanks:) thanks for letting us know, please ensure all the lights are turned off. the aircon is off. please close balcony door. please lock front door and return the key to concierge and ask to see that they put it back in starhost box. this is important to ensure we do not blame guest for missing keys. we will fetch the keys from the starhost box on arrival. hi tayla, all is good thanks... keep well, johan troskie tel 0828820100"
1416324149,"hope your check-in went smoothly in johannesburg! your host, easy stays, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. hope your check-in went smoothly in johannesburg! your host, vaso, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. hope your check-in went smoothly in cape town! your host, sustainablestays, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. hope your check-in went smoothly in johannesburg! your host, daniel and tracy, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. hope your check-in went smoothly in cape town! your host, sustainablestays, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. hope your check-in went smoothly in johannesburg! your host, gary, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7. hope your check-in went smoothly in sandton! your host, tayla, is a great person to reach out to if you need anything during your stay—but if you ever need us, we're here 24/7."
1417291474,my daughter is at st mary's and i come up from cpt to visit her. hi johan thanks for the booking. at some point pls whatsapp me on 0836529243 and i’ll send you what you need to know regards daniel hi johan a reminder to please send me a whatsapp so that i can send you check in details for tomorrow the number is above regards daniel
1417304052,"hi, i visit jnb from cpt to see my daughter (16) who is at st mary's. thanks. hi johan it was a pleasure hosting you. i have left you a 5 star review online. i wrote the following ""johan t spent a few nights in our apartment and was a wonderful guest. the communication with us was great - always polite, friendly and quick. the apartment was looked after and kept clean and tidy as it was found. it was a pleasure to host johan t and i would definitely recommend johan t as a guest to anyone."" when rating us after your stay, please consider that airbnb’s ratings are totally different than the classic hotel star rating system. you should know that airbnb can close down a listing that drops below an average of 4.3 stars. there system is rather confusing. to give you a better understanding, we designed the following (cheeky) guide to the rating system: ***** (5 stars) = perfection does not exist, but considering what i paid and where i stayed, i was happy here. **** (4 stars) = several issues need to be improved. *** (3 stars) = major problems ** (2 stars) = close the place down * (1 stars) = put the hosts in jail we always strive to give our guests a 5 star experience. please let us know of any problem you may have had during your stay and we will do everything within our power to solve it for future. we hope to hear from you again soon. the starhost team hey johan, i hope that you’ve enjoyed your stay. tomorrow will be your check out day by 10:00 am latest. for check out just: please turn off all lights and aircon. please lock the balcony door. please lock front door and give the keys back to reception at the front. please take note: any last-minute extension requests are subject to availability of the apartment. in addition, should you send an extension request between 18h00 – 21h00 the day before checking out, an additional r200 late fee will be billed before the extension can be accepted. furthermore, we are unable to accept extension requests sent after 21h00. you would be required to make a new booking or pay for the cleaning tomorrow. we therefore urge you to request any extensions as soon as possible to avoid disappointment. feel free to reach out if you have any questions best, the starhost team hey johan, i hope you have arrived safely and check in went smoothly. hopefully you are making yourself at home and settling in alright and that you are enjoying your stay so far. please also just remember that check out is at 10am latest on your check out date. excited to be hosting you. always here to help, the starhost team sounds good, thanks... hi johan thank you so much for booking with us! we will be in contact two days before your arrival day with all of the details you'll need for a smooth check in and a wonderful stay. if you would like to get in touch, and have any questions before or during your stay, we request that you use this message platform to message us. this will result in an immediate response during our working hours of 8am – 10pm daily. please note that the number provided on the channel for us will not work as this is my private number and set to do not disturb. hence, i am unable to assist and be contactable by phone. however, i have a dedicate online guest communication centre who will respond to you during the hours mentioned. shout if you would prefer us to use whatsapp message for communication. if you have a critical issue – please message here with the issue and request for urgent assistance. if the online team cannot assist via a reply message immediately, they will send you my number for urgent assistance as well as warn me to expect the call so i can make myself available. looking forward to hosting you. thanks checked in... everything is , thanks. hi johan, your check in date is getting close and we are excited for your arrival! reminding you that the address is 7 hood avenue the apex on smuts, johannesburg, gauteng 2196, south africa check in is on may 14th, 2023 from 3pm - 10pm check out is on may 21st, 2023 by 10:00 am. we have exclusively partnered with mu africa tours. a registered tour and transport service company. they are here for our guests. offering them private/personal transfers, tours and more. if you would like airport transfer please let us know so we can put you in direct contact with them. just a friendly reminder that we are not serviced apartments. we offer a complimentary clean once a week if your stay is for more than 7 nights. cleaning equipment and appliances such as broom, mop and washing machine are provided. the apartment is self catering; but to help get you started we provide you with a small quantity of tea, coffee and sugar; as well as some hand soap and shower gel, sunlight liquid and a lined kitchen bin. an unused roll toilet paper per bathroom. we will replenish these once a week if your stay is for longer than 7 nights. as promised here are the instructions for smooth check in: unit 701 the apex on smuts corner hood ave &, jan smuts ave, rosebank, johannesburg, 2196 there are two entrances pedestrian entrance on the left side and parking entrance on the right. if you are coming via uber/taxi/foot - go straight into the pedestrian entrance. there is a reception there. please ask them for the keys for unit 701. they have been dropped off today. if you are coming via car - go to the parking entrance. security will ask you the reason for your visit. you will say you are a guest at 701. he will make you sign the entrance book. then go up the small ramp. turn immediately right and on the right side two parking's are ours. on the wall it says 701 but on the parking ground it says 50 and 52. security are very helpful at pointing this out as well :) once you have parked you can go to reception and ask for the keys. once you have the keys go into the lift. 7th floor. turn left out the lift. we are the corner unit. keys for front door only. wifi: network: apex_fl7_u701 password: test1234 we have netflix. balcony door keys are kept in the balcony door. please let us know if you have any questions. please also remember the communication methods we mentioned in your booking confirmation message - this will ensure swift response, :) we regret to let you know that should you misplace the key after hours we will not be able to assist in a spare key to open. all lost keys are charged at r550 per key. we look forward to hosting you soon! all the best, the starhost team"
